"      No  MODE    ID(hex)   RTR   DLC    D1    D2    D3    D4    D5    D6    D7    D8   TimeStamp(sec)"
"       1     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1560.5439"
"       2     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1561.5439"
"       3     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1562.5439"
"       4     0        288     0     8    55    BB    55    BB    3A     0    72    A3        1562.8840"
"       5     0        288     0     8     9    EB    7F    D6    C7    FA    1E    1F        1562.8842"
"       6     0        288     0     8    75    6C    99     6    AB    F7    F0    9F        1562.8843"
"       7     0        288     0     8    D0    8C    47     D    D4    3A    10    38        1562.8844"
"       8     0        288     0     8     4    D1    82    E4    22    50    63    40        1562.8845"
"       9     0        288     0     8    C1    35    71    8E    57    E7    43    3C        1562.8846"
"      10     0        288     0     8    B5    80    F1    8A    3B    AB    85    39        1562.8847"
"      11     0        288     0     6    21    BB    75    77    AB    CD                    1562.8848"
"      12     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1563.5439"
"      13     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1564.5439"
"      14     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1565.5440"
"      15     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1566.5440"
"      16     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1567.5440"
"      17     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1568.5440"
"      18     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1569.5440"
"      19     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1570.5440"
"      20     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1571.5440"
"      21     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1572.5440"
"      22     0        288     0     8    55    BB    55    BB    3A     0    61    C5        1573.0342"
"      23     0        288     0     8     2    74    C2     D    F2    34    94    B7        1573.0343"
"      24     0        288     0     8    FD    6A    C6    61    FC    CD    62    9A        1573.0344"
"      25     0        288     0     8    1E    6B    27    CD    DD    BB    79    11        1573.0345"
"      26     0        288     0     8    DD    9B    39    2C    DD    14    22    3B        1573.0346"
"      27     0        288     0     8    D5    E6    BC    57    D2    2D    D7     C        1573.0347"
"      28     0        288     0     8    DA    29    AE    43    9F    28    24    4A        1573.0348"
"      29     0        288     0     6    B7    E3    8C    53    AB    CD                    1573.0349"
"      30     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1573.5440"
"      31     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1574.5440"
"      32     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1575.5440"
"      33     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1576.5441"
"      34     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1577.5441"
"      35     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1578.5441"
"      36     0        288     0     8    55    BB    55    BB    33     0    D5    3A        1579.1342"
"      37     0        288     0     8    CE    F2    E3    BC    98    57    6A    BA        1579.1343"
"      38     0        288     0     8    37    A8    90    6E    89    30    E5    16        1579.1344"
"      39     0        288     0     8    32    11    E9    AB    2B    B0    5A    6C        1579.1345"
"      40     0        288     0     8    42    11    98    B9    DF    11    B3    3B        1579.1346"
"      41     0        288     0     8    83    47    BB     A    DF    85    9B    88        1579.1347"
"      42     0        288     0     7    15    20     0    98    2E    AB    CD              1579.1348"
"      43     0        288     0     8    55    BB    55    BB    24     0     E    FC        1579.4843"
"      44     0        288     0     8    C6    35    48    5A    BF    8B    55    4B        1579.4844"
"      45     0        288     0     8    BC    83    8D    89    4E    D3    27    F6        1579.4845"
"      46     0        288     0     8    78    6D    FA    F1    B0    8D    D5    F0        1579.4846"
"      47     0        288     0     8    38    37     0     0    CD    AD    AB    CD        1579.4848"
"      48     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1579.5441"
"      49     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1580.5441"
